Algorithm,ARI,Silhouette,Davies_Bouldin,NMI,Inertia
K-Means,0.5558749464940614,0.17306756326942915,1.5861679535881128,0.43646848200216354,6763.99017495972
Hierarchical_Ward,0.5450808844894768,0.12996689908851988,1.4575595521038085,0.3297818687173005,
Hierarchical_Average,-0.006622220836719128,0.6601853051269252,0.2294546547388235,0.0023708427588672175,
