Model,Accuracy,Precision (macro),Recall (macro),F1-Score (macro),F1 (N),F1 (P),F1 (Y),Training Time (s),CV F1 Mean,CV F1 Std
Logistic Regression,0.9481865284974094,0.8102149422904139,0.8710633946830265,0.8368933999899005,0.926829268292683,0.6086956521739131,0.9751552795031057,1.808946132659912,0.923422140734948,0.0120450018447459
Random Forest,0.9948186528497408,0.9979674796747968,0.9666666666666668,0.9814367723590322,1.0,0.9473684210526316,0.9969418960244648,23.5361225605011,0.9953642627058824,0.0019247027816303
SVM,0.932642487046632,0.9468398268398268,0.7333333333333334,0.8110625811691351,0.6451612903225806,0.8235294117647058,0.9644970414201184,11.72234344482422,0.9927884643916572,0.0037823394107598
XGBoost,0.9948186528497409,0.9979674796747968,0.9666666666666667,0.9814367723590322,1.0,0.9473684210526315,0.9969418960244648,11.796157121658325,0.9958810663355262,0.002625546908224801
